id,link,modelo,version,precio,ciudad,km,año,ESTADO,UBICACIÓN,PLACA,TIPO DE CAJA,COMBUSTIBLE,CILINDRAJE,COLOR,AIRBAGS,PUERTAS,DIRECCIÓN,
9cace17f-7c5d-4a19-a0fb-fd1c88f0ae7f,https://www.carroya.com/detalle/usado/mazda/2/2020/cali/9cace17f-7c5d-4a19-a0fb-fd1c88f0ae7f,Mazda 2,Sport Touring 1.5 Hatchback Automatico,$72.000.000,Cali,34.000 km,2020,usado,Cali,**0 Cali,Automática,Gasolina,1.500,Blanco,,,,
0ad4bf24-afbc-4e31-8d4a-ae99457ac77d,https://www.carroya.com/detalle/usado/mazda/cx-5/2019/bogota/0ad4bf24-afbc-4e31-8d4a-ae99457ac77d,Mazda CX-5,2.5 AWD Grand Touring,$129.000.000,Bogota,35.000 km,2019,usado,Bogota,**8 Bogota,Automática,Gasolina,2.500,Rojo,,,,
4659d471-f573-4d38-b264-c19610eed2e2,https://www.carroya.com/detalle/usado/mazda/cx-30/2023/barrancabermeja/4659d471-f573-4d38-b264-c19610eed2e2,Mazda CX-30,Grand Touring LX 2.0 4X2 Automática Hybrid,$134.000.000,Barrancabermeja,2.100 km,2023,usado,Barrancabermeja,**9 Villa del rosario,Automática,Gasolina,2.000,Gris,,null,,
cdb49822-33af-40f4-8daf-9281a5d56259,https://www.carroya.com/detalle/usado/mazda/3/2021/santa-marta/cdb49822-33af-40f4-8daf-9281a5d56259,Mazda 3,1.6 Sedan Automatico,$96.000.000,Santa marta,49.000 km,2021,usado,Santa marta,**8 Bogota,Automática,Gasolina,20,Blanco,,,,
487e0019-d1d3-4ea6-aa08-6d3085a234b1,https://www.carroya.com/detalle/usado/mazda/cx-9/2020/barranquilla/487e0019-d1d3-4ea6-aa08-6d3085a234b1,Mazda CX-9,2.5 Grand Touring Signature Skyactive,$171.000.000,Barranquilla,35.000 km,2020,usado,Barranquilla,**6 Envigado,Automática,Gasolina,0,Gris,,5,,
2044453,https://www.carroya.com/detalle/usado/mazda/626/1989/bogota/2044453,Mazda 626,GLX 2.0,$14.000.000,Bogota,1.250 km,1989,usado,Bogota,**6 Chia,Mecánica,Gasolina,2.000,Azul,,,,
beaf9659-8474-4bbc-858d-35faaf4903b5,https://www.carroya.com/detalle/usado/mazda/626/2004/bogota/beaf9659-8474-4bbc-858d-35faaf4903b5,Mazda 626,Nuevo Milenio 2.0 Mecanico,$21.800.000,Bogota,2.500 km,2004,usado,Bogota,**5 Envigado,Mecánica,Gasolina,2.000,Gris,,,,
77f1f7ed-7dcf-4c74-888f-ce5228f79096,https://www.carroya.com/detalle/usado/mazda/3/2007/barranquilla/77f1f7ed-7dcf-4c74-888f-ce5228f79096,Mazda 3,1.6 Hatchback Mecanico,$22.000.000,Barranquilla,254.000 km,2007,usado,Barranquilla,**1 Barranquilla,Mecánica,Gasolina,1.600,Gris,,,,
be8691cc-eefa-463e-a08c-525156c44fa9,https://www.carroya.com/detalle/usado/mazda/2/2018/pereira/be8691cc-eefa-463e-a08c-525156c44fa9,Mazda 2,Grand Touring 1.5 Sedan Automatico,$66.000.000,Pereira,52.000 km,2018,usado,Pereira,**6 Pereira,Automática,Gasolina,1.500,Blanco,,,,
49ba6511-4bc7-48e4-8a45-1d2897f340fd,https://www.carroya.com/detalle/usado/mazda/3-all-new/2013/bogota/49ba6511-4bc7-48e4-8a45-1d2897f340fd,Mazda 3 All New,2.0 Sedan Automatico,$58.000.000,Bogota,31.000 km,2013,usado,Bogota,"**3 Bogota,",Secuencial,Gasolina,2.000,Beige,,,,
040957da-2493-49f1-9332-a1a497a447ab,https://www.carroya.com/detalle/usado/mazda/cx-5/2022/sabaneta/040957da-2493-49f1-9332-a1a497a447ab,Mazda CX-5,Touring 2.5 Suv Automatico 4x2,$136.000.000,Sabaneta,13.550 km,2022,usado,Sabaneta,**6 Sabaneta,Automática,Gasolina,25,Rojo,,5,,
2f8777a4-2311-4355-96f3-50bf7fe18f27,https://www.carroya.com/detalle/usado/mazda/cx-5/2018/barranquilla/2f8777a4-2311-4355-96f3-50bf7fe18f27,Mazda CX-5,Grand Touring 2.5 Suv Automatica 4x2,$125.000.000,Barranquilla,34.000 km,2018,usado,Barranquilla,**0 Barranquilla,Automática,Gasolina,0,Rojo,,,,
cc49ce4a-ada5-475b-86f2-30a033d520d6,https://www.carroya.com/detalle/usado/mazda/cx-5/2020/bogota/cc49ce4a-ada5-475b-86f2-30a033d520d6,Mazda CX-5,Grand Touring LX 2.5 Suv Automatico 4x4,$140.000.000,Bogota,5.450 km,2020,usado,Bogota,**5 Bogota,Automática,Gasolina,25,Plateado,,5,,
a5822d96-6632-4862-9903-af0ae1256ce5,https://www.carroya.com/detalle/usado/mazda/6/2014/bogota/a5822d96-6632-4862-9903-af0ae1256ce5,Mazda 6,2.5L Grand Touring,$70.000.000,Bogota,38.500 km,2014,usado,Bogota,**3 Bogota,Secuencial,Gasolina,2.500,Azul,,,,
2051527,https://www.carroya.com/detalle/usado/mazda/cx-7/2008/cali/2051527,Mazda CX-7,2.3 Turbo Automatico,$43.000.000,Cali,150.060 km,2008,usado,Cali,**5 Cali,Automática,Gasolina,2.300,Rojo,Airbags,,,
2282404,https://www.carroya.com/detalle/usado/mazda/3/2018/bogota/2282404,Mazda 3,Touring 2.0 Sedan Automatico,$61.900.000,Bogota,62.000 km,2018,usado,Bogota,**1 Bogota,Automática,Gasolina,2.000,Rojo,,,Asistencia Hidráulica,
2284258,https://www.carroya.com/detalle/usado/mazda/3/2018/bogota/2284258,Mazda 3,2.0 Sport Grand Touring LX,$72.900.000,Bogota,50.000 km,2018,usado,Bogota,**5 Bogota,Secuencial,Gasolina,2.000,Plateado,Airbags,,,
2284240,https://www.carroya.com/detalle/usado/mazda/2/2016/medellin/2284240,Mazda 2,Touring,$53.900.000,Medellin,108.000 km,2016,usado,Medellin,**7 Medellin,Automática,Gasolina,1.500,Blanco,Airbags,,,
2284249,https://www.carroya.com/detalle/usado/mazda/3/2019/medellin/2284249,Mazda 3,Grand Touring 2.0 Sedan Automatico,$72.000.000,Medellin,70.000 km,2019,usado,Medellin,**2 Medellin,Automática,Gasolina,2.000,Gris,,,Asistencia Hidráulica,
2273095,https://www.carroya.com/detalle/usado/mazda/2/2014/bogota/2273095,Mazda 2,1.5 Sport,$35.890.000,Bogota,95.000 km,2014,usado,Bogota,**8 Bogota,Mecánica,Gasolina,1.500,Rojo,,,Asistencia Hidráulica,
2d28fdbf-cecb-4d40-b146-8993e31e8d61,https://www.carroya.com/detalle/usado/mazda/3/2005/medellin/2d28fdbf-cecb-4d40-b146-8993e31e8d61,Mazda 3,1.6 Hatchback Mecanico,$20.000.000,Medellin,174.000 km,2005,usado,Medellin,**1 Envigado,Mecánica,Gasolina,1.600,Blanco,,,,
2284222,https://www.carroya.com/detalle/usado/mazda/2/2019/bucaramanga/2284222,Mazda 2,,$65.500.000,Bucaramanga,40.900 km,2019,usado,Bucaramanga,**9 Bogota,Secuencial,Gasolina,1.500,Gris,Airbags,,,
2282318,https://www.carroya.com/detalle/usado/mazda/6/2020/cali/2282318,Mazda 6,2.5L Grand Touring LX,$99.000.000,Cali,21.755 km,2020,usado,Cali,**6 Chia,Automática,Gasolina,2.488,Plateado,Airbags,,,
2283350,https://www.carroya.com/detalle/usado/mazda/cx-5/2016/cali/2283350,Mazda CX-5,Touring 2.0 Suv Automatico 4x2,$69.000.000,Cali,81.039 km,2016,usado,Cali,**1 Cali,Automática,Gasolina,2.000,Plateado,Airbags,,,
2263329,https://www.carroya.com/detalle/usado/mazda/3/2013/bogota/2263329,Mazda 3,1.6 Sedan Automatico,$34.490.000,Bogota,128.000 km,2013,usado,Bogota,**6 Bogota,Automática,Gasolina,1.600,Negro,,,Asistencia Hidráulica,
2284206,https://www.carroya.com/detalle/usado/mazda/cx-30/2022/bogota/2284206,Mazda CX-30,Grand Touring LX 2.5 Suv Automatico 4x2,$102.900.000,Bogota,33.420 km,2022,usado,Bogota,**4 Bogota,Automática,Gasolina,0,Blanco,,null,,
2284205,https://www.carroya.com/detalle/usado/mazda/2/2018/bogota/2284205,Mazda 2,,$55.990.000,Bogota,78.180 km,2018,usado,Bogota,**2 Bogota,Automática,Gasolina,0,Rojo,,,,
0a9d99cb-5591-4401-8bf9-aa48df32ca1d,https://www.carroya.com/detalle/usado/mazda/2/2018/bogota/0a9d99cb-5591-4401-8bf9-aa48df32ca1d,Mazda 2,1.5 Sport Prime Aut,$53.000.000,Bogota,63.400 km,2018,usado,Bogota,**3 Bogota,Automática,Gasolina,1,Gris,,,,
28833bd8-273a-43df-a897-17cda6a58175,https://www.carroya.com/detalle/usado/mazda/3/2019/bogota/28833bd8-273a-43df-a897-17cda6a58175,Mazda 3,2.0 Sport Grand Touring LX,$72.900.000,Bogota,77.200 km,2019,usado,Bogota,**2 Bogota,Automática,Gasolina,1.999,Azul,,5,,
7b3ad366-e6c7-41bd-a779-064c97d93c9b,https://www.carroya.com/detalle/usado/mazda/3/2016/bogota/7b3ad366-e6c7-41bd-a779-064c97d93c9b,Mazda 3,2.0 Grand Touring Aut,$58.000.000,Bogota,97.600 km,2016,usado,Bogota,**9 Bogota,Automática,Gasolina,2.000,Blanco,,,,
3a0763d4-6fd9-4a5c-b363-d91066e61ed4,https://www.carroya.com/detalle/usado/mazda/cx-5/2018/bogota/3a0763d4-6fd9-4a5c-b363-d91066e61ed4,Mazda CX-5,2.0 4x2 Automatica High,$100.000.000,Bogota,48.000 km,2018,usado,Bogota,**2 Bogota,Automática,Gasolina,2.000,Otro,,,,
2264922,https://www.carroya.com/detalle/usado/mazda/cx-7/2007/bogota/2264922,Mazda CX-7,2.3 Turbo Automatico,$30.800.000,Bogota,141.000 km,2007,usado,Bogota,**5 Bogota,Automática,Gasolina,2.300,Negro,,,Asistencia Hidráulica,
2284173,https://www.carroya.com/detalle/usado/mazda/2/2019/bogota/2284173,Mazda 2,,$64.900.000,Bogota,52.150 km,2019,usado,Bogota,**5 Bogota,Automática,Gasolina,0,Azul,,,,
2284153,https://www.carroya.com/detalle/usado/mazda/2/2021/bogota/2284153,Mazda 2,Touring 1.5 Sedan Manual,$61.990.000,Bogota,48.440 km,2021,usado,Bogota,**6 Cali,Mecánica,Gasolina,15,Rojo,Airbags,,,
a9322006-b69c-490c-9614-8df8c5e31aff,https://www.carroya.com/detalle/usado/mazda/3/2016/bogota/a9322006-b69c-490c-9614-8df8c5e31aff,Mazda 3,2.0 Grand Touring Aut,$60.500.000,Bogota,79.000 km,2016,usado,Bogota,**7 Bogota,Automática,Gasolina,20,Gris,,,,
2271624,https://www.carroya.com/detalle/usado/mazda/cx-5/2015/bogota/2271624,Mazda CX-5,2.0 4x2 Automatica High,$62.990.000,Bogota,109.000 km,2015,usado,Bogota,**4 Bogota,Automática,Gasolina,2.000,Rojo,,,Asistencia Hidráulica,
