id,link,modelo,version,precio,ciudad,km,año,ESTADO,UBICACIÓN,PLACA,TIPO DE CAJA,COMBUSTIBLE,CILINDRAJE,COLOR,PUERTAS,AIRBAGS,DIRECCIÓN
c1ae45a9-2ff4-4a63-943f-998421c766e4,https://www.carroya.com/detalle/usado/renault/koleos/2014/palmira/c1ae45a9-2ff4-4a63-943f-998421c766e4,Renault Koleos,,$55.000.000,Palmira,86.900 km,2014,usado,Palmira,**4 Cali,Automática,Gasolina,2.500,Blanco,,,
0ffa338c-e9cc-46e5-b12e-9e636d3d822e,https://www.carroya.com/detalle/usado/ford/bronco/2023/bogota/0ffa338c-e9cc-46e5-b12e-9e636d3d822e,Ford Bronco,2.0 Wildtrack 4x4,$144.000.000,Bogota,4.800 km,2023,usado,Bogota,**5 Chia,Automática,Gasolina,2.000,Gris,5,,
2282526,https://www.carroya.com/detalle/usado/renault/kwid/2024/cali/2282526,Renault Kwid,Intens,$41.500.000,Cali,15.000 km,2024,usado,Cali,**7 Cali,Mecánica,Gasolina,999,Rojo,,Airbags,
2282458,https://www.carroya.com/detalle/usado/renault/sandero/2018/cali/2282458,Renault Sandero,Expression ABS,$42.000.000,Cali,126.764 km,2018,usado,Cali,**1 Cali,Mecánica,Gasolina,1.600,Rojo,,,Asistencia Hidráulica
2281985,https://www.carroya.com/detalle/usado/renault/logan/2019/cali/2281985,Renault Logan,Exclusive Aut,$45.000.000,Cali,83.832 km,2019,usado,Cali,**1 Cali,Automática,Gasolina,1.600,Plateado,,Airbags,
2282497,https://www.carroya.com/detalle/usado/renault/clio/2016/cali/2282497,Renault Clio,Campus 1.2 Mecanico Aire Acondicionado,$33.000.000,Cali,88.901 km,2016,usado,Cali,**3 Cali,Mecánica,Gasolina,1.149,Gris,,,Asistencia Hidráulica
a504af1d-6029-4597-9f56-c9fd489fc340,https://www.carroya.com/detalle/usado/hyundai/santafe/2004/jamundi/a504af1d-6029-4597-9f56-c9fd489fc340,Hyundai Santafe,2.7 4x4 Automatica,$32.000.000,Jamundi,199.249 km,2004,usado,Jamundi,**8 Envigado,Automática,Gasolina,2.700,Plateado,,,
941788d3-4b44-4b7b-b32c-8441010e8538,https://www.carroya.com/detalle/usado/mercedes-benz/clase-gle/2022/cali/941788d3-4b44-4b7b-b32c-8441010e8538,Mercedes Benz Clase GLE,.,$415.000.000,Cali,10.800 km,2022,usado,Cali,**1 Cali,Automática,Gasolina,30,Negro,,,
08f29fcd-9ff8-4faa-af57-e0c070bee604,https://www.carroya.com/detalle/usado/mazda/3/2017/bogota/08f29fcd-9ff8-4faa-af57-e0c070bee604,Mazda 3,2.0 Sport Grand Touring Aut,$63.000.000,Bogota,73.000 km,2017,usado,Bogota,**4 Bogota,Automática,Gasolina,2.000,Blanco,5,,
09379fa9-14b0-410f-9cb9-b778fb992b81,https://www.carroya.com/detalle/usado/hyundai/santafe/2016/bogota/09379fa9-14b0-410f-9cb9-b778fb992b81,Hyundai Santafe,,$83.000.000,Bogota,67.000 km,2016,usado,Bogota,**7 Bogota,Automática,Gasolina,2.299,Plateado,,,
4c599a5c-460c-428d-852f-76d19da689ee,https://www.carroya.com/detalle/usado/ford/fiesta/2017/cali/4c599a5c-460c-428d-852f-76d19da689ee,Ford Fiesta,,$38.900.000,Cali,86.000 km,2017,usado,Cali,**6 Cali,Automática,Gasolina,1.600,Gris,,,
c4421f7c-2dc9-42b2-8940-83f77f7115fe,https://www.carroya.com/detalle/usado/chevrolet/tracker/2020/bogota/c4421f7c-2dc9-42b2-8940-83f77f7115fe,Chevrolet Tracker,,$59.500.000,Bogota,62.500 km,2020,usado,Bogota,**3 Funza,Mecánica,Gasolina,1.800,Blanco,,,
7b9e63aa-f8df-426b-8fc4-627787514b8c,https://www.carroya.com/detalle/usado/chevrolet/sail/2020/bogota/7b9e63aa-f8df-426b-8fc4-627787514b8c,Chevrolet Sail,GT Mecanico Full Equipo,$37.500.000,Bogota,45.000 km,2020,usado,Bogota,**0 Bogota,Mecánica,Gasolina,1,Gris,,,
224e6568-b5c5-4512-a2b4-53a2a731162a,https://www.carroya.com/detalle/usado/nissan/versa/2016/cali/224e6568-b5c5-4512-a2b4-53a2a731162a,Nissan Versa,Advance,$40.000.000,Cali,112.328 km,2016,usado,Cali,**7 Cali,Mecánica,Gasolina,1.600,Blanco,,,
8f6e59d3-8a35-4c25-90a5-6a54babf8ebc,https://www.carroya.com/detalle/usado/toyota/prado/2012/bogota/8f6e59d3-8a35-4c25-90a5-6a54babf8ebc,Toyota Prado,TX 2.8 Suv Automatico Diesel,$145.000.000,Bogota,191.000 km,2012,usado,Bogota,**2 Bogota,Automática,Diesel,0,Gris,,,
809517bf-faa8-4580-a21d-dae05c230c7e,https://www.carroya.com/detalle/usado/chevrolet/onix/2021/bogota/809517bf-faa8-4580-a21d-dae05c230c7e,Chevrolet Onix,1.0 Turbo LTZ Sedan Automatico,$57.000.000,Bogota,22.000 km,2021,usado,Bogota,**9 Bogota,Automática,Gasolina,10,Gris,5,,
86775539-0872-4a48-937c-1ec6fdbcbbdd,https://www.carroya.com/detalle/usado/citroen/c-elysee/2016/bogota/86775539-0872-4a48-937c-1ec6fdbcbbdd,Citroen C-Elysee,1.6 Exclusive VTi 115,$38.500.000,Bogota,46.400 km,2016,usado,Bogota,**7 Bogota,Mecánica,Gasolina,1.600,Azul,4,,
ed24e725-4c29-4d2f-bf4f-cdb757c109d3,https://www.carroya.com/detalle/usado/mercedes-benz/clase-c/2013/bogota/ed24e725-4c29-4d2f-bf4f-cdb757c109d3,Mercedes Benz Clase C,200 Advantgarde,$55.000.000,Bogota,86.000 km,2013,usado,Bogota,**0 Bogota,Automática,Gasolina,1.796,Blanco,,,
f1131c81-f7e3-4566-8f02-98b5aba78584,https://www.carroya.com/detalle/usado/fiat/500/2013/la-ceja/f1131c81-f7e3-4566-8f02-98b5aba78584,Fiat 500,1.4 Lounge Automatico,$42.000.000,La ceja,72.200 km,2013,usado,La ceja,**2 Bogota,Automática,Gasolina,1.399,Plateado,,,
1a02ffae-adf9-4476-b4d9-3ab159d4cd7c,https://www.carroya.com/detalle/usado/citroen/c4/2020/floridablanca/1a02ffae-adf9-4476-b4d9-3ab159d4cd7c,Citroen C4,1.6 Feel Aut,$62.000.000,Floridablanca,30.100 km,2020,usado,Floridablanca,**5 Villa del rosario,Automática,Gasolina,1.600,Rojo,,,
ef9b3ee8-5d55-4e9e-a459-d6dc6d954f61,https://www.carroya.com/detalle/usado/mini/cooper/2020/chia/ef9b3ee8-5d55-4e9e-a459-d6dc6d954f61,Mini Cooper,Salt,$118.000.000,Chia,32.000 km,2020,usado,Chia,**2 Bogota,Automática,Gasolina,2.000,Verde,,,
bd743b76-f6c9-45ea-9fd3-6b1e5d253799,https://www.carroya.com/detalle/usado/mazda/3/2020/pereira/bd743b76-f6c9-45ea-9fd3-6b1e5d253799,Mazda 3,2.0 Sedan Automatico,$72.000.000,Pereira,76.000 km,2020,usado,Pereira,**7 Manizales,Automática,Gasolina,2.000,Rojo,,,
31cdc481-6bc9-4025-9768-ccd05c078c25,https://www.carroya.com/detalle/usado/citroen/c4/2022/manizales/31cdc481-6bc9-4025-9768-ccd05c078c25,Citroen C4,1.6 Feel Aut,$71.999.000,Manizales,29.995 km,2022,usado,Manizales,**3 Mosquera,Automática,Gasolina,1.600,Gris,,,
046b29e9-4ee1-4224-84db-d3c43ee870d4,https://www.carroya.com/detalle/usado/renault/twingo/2011/bogota/046b29e9-4ee1-4224-84db-d3c43ee870d4,Renault Twingo,Access +,$26.000.000,Bogota,52.300 km,2011,usado,Bogota,**2 Bogota,Mecánica,Gasolina,1.100,Gris,,,
bb9f93e4-0a20-4eeb-9746-d52547169ad5,https://www.carroya.com/detalle/usado/chevrolet/blazer/2023/chia/bb9f93e4-0a20-4eeb-9746-d52547169ad5,Chevrolet Blazer,4x4 Automatica,$175.000.000,Chia,19.000 km,2023,usado,Chia,**7 Chia,Automática,Gasolina,3.600,Rojo,,,
916b7fe2-66c3-4c8e-9d54-f12801c7474a,https://www.carroya.com/detalle/usado/kia/picanto/2022/cali/916b7fe2-66c3-4c8e-9d54-f12801c7474a,KIA Picanto,X-line 1.25 Hatchback Manual,$56.400.000,Cali,15.000 km,2022,usado,Cali,**6 Cali,Mecánica,Gasolina,1.250,Blanco,4,,
1c7f852c-9a12-4239-96c9-0463ce54538e,https://www.carroya.com/detalle/usado/kia/cerato-forte/2013/bogota/1c7f852c-9a12-4239-96c9-0463ce54538e,KIA Cerato Forte,,$38.000.000,Bogota,118.000 km,2013,usado,Bogota,**0 Bogota,Mecánica,Gasolina,1.600,Blanco,,,
864c0418-62dd-4218-b09c-80ee2f51e5a2,https://www.carroya.com/detalle/usado/toyota/corolla/2021/bogota/864c0418-62dd-4218-b09c-80ee2f51e5a2,Toyota Corolla,1.8 CVT SEG,$92.400.000,Bogota,62.000 km,2021,usado,Bogota,**2 Cartagena,Automática,Híbrido,1.800,Blanco,4,,
4d724466-3f5c-4590-863e-26743c31e082,https://www.carroya.com/detalle/usado/hyundai/tucson/2013/barranquilla/4d724466-3f5c-4590-863e-26743c31e082,Hyundai Tucson,,$45.000.000,Barranquilla,135.000 km,2013,usado,Barranquilla,**5 Bogota,Automática,Gasolina,2.000,Otro,,,
29dbc720-48b3-42e7-9558-22820fad0dba,https://www.carroya.com/detalle/usado/toyota/fortuner/2020/bogota/29dbc720-48b3-42e7-9558-22820fad0dba,Toyota Fortuner,2.7 SRV Aut street,$164.000.000,Bogota,41.000 km,2020,usado,Bogota,**0 Funza,,Sin Especificar,0,Gris,,,
a8a04e57-f899-48fe-8695-b5a71133b346,https://www.carroya.com/detalle/usado/mazda/cx-3/2017/bogota/a8a04e57-f899-48fe-8695-b5a71133b346,Mazda CX-3,Touring Aut,$71.000.000,Bogota,43.000 km,2017,usado,Bogota,**4 Bogota,Automática,Gasolina,2.000,Rojo,5,,
b7edf0be-f151-4257-b58d-0586a74e7fc4,https://www.carroya.com/detalle/usado/jeep/renegade/2022/bucaramanga/b7edf0be-f151-4257-b58d-0586a74e7fc4,JEEP Renegade,Sport Plus 1.8,$80.000.000,Bucaramanga,23.000 km,2022,usado,Bucaramanga,**2 Bogota,Automática,Gasolina,1.800,Gris,,,
3554e361-2506-45f3-a665-3b95af3d5314,https://www.carroya.com/detalle/usado/ford/fusion/2014/medellin/3554e361-2506-45f3-a665-3b95af3d5314,Ford Fusion,Titanium Gasolina,$53.000.000,Medellin,75.000 km,2014,usado,Medellin,**7 Medellin,Automática,Gasolina,2.000,Negro,,,
f8463baf-7355-4914-85a0-ed8f52103161,https://www.carroya.com/detalle/usado/dfsk/van/2015/bogota/f8463baf-7355-4914-85a0-ed8f52103161,DFSK Van,1.3 7 pasajeros,$35.000.000,Bogota,257.300 km,2015,usado,Bogota,**3 Bogota,Mecánica,Gas natural,1.300,Blanco,,,
dba9a4d6-0c96-4589-8a3d-0dc9f5109f16,https://www.carroya.com/detalle/usado/jeep/comando/1954/bogota/dba9a4d6-0c96-4589-8a3d-0dc9f5109f16,JEEP Comando,Americano,$58.000.000,Bogota,50.000 km,1954,usado,Bogota,**6 Quibdo,Mecánica,Gasolina,0,Verde,,,
6c46c566-92e1-4184-873e-6cf4bc7313a1,https://www.carroya.com/detalle/usado/nissan/x-trail/2019/bogota/6c46c566-92e1-4184-873e-6cf4bc7313a1,Nissan X-Trail,Advance,$89.000.000,Bogota,62.500 km,2019,usado,Bogota,**2 Bogota,Automática,Gasolina,2.500,Plateado,5,,
db768852-04db-4516-a7fe-6d9a2ddc9d1e,https://www.carroya.com/detalle/usado/nissan/versa/2020/bogota/db768852-04db-4516-a7fe-6d9a2ddc9d1e,Nissan Versa,Sense Aut,$60.800.000,Bogota,25.870 km,2020,usado,Bogota,**8 Bogota,Automática,Gasolina,1.598,Rojo,4,,
c9a0bf4d-09d6-4544-a705-28f50fe8107e,https://www.carroya.com/detalle/usado/renault/clio/2007/cali/c9a0bf4d-09d6-4544-a705-28f50fe8107e,Renault Clio,1.4 Dynamique,$18.900.000,Cali,118.000 km,2007,usado,Cali,**4 Bogota,Mecánica,Gasolina,0,Plateado,,,
f674328c-d998-4a29-8bb0-8da5e00158bb,https://www.carroya.com/detalle/usado/nissan/qashqai/2016/cali/f674328c-d998-4a29-8bb0-8da5e00158bb,Nissan Qashqai,2.0 Automatica Full Equipo,$62.500.000,Cali,66.500 km,2016,usado,Cali,**0 Cali,Automática,Gasolina,2.000,Negro,,,
