id,link,modelo,version,precio,ciudad,km,año,ESTADO,UBICACIÓN,PLACA,TIPO DE CAJA,COMBUSTIBLE,CILINDRAJE,COLOR,PUERTAS,AIRBAGS,DIRECCIÓN,
2278738,https://www.carroya.com/detalle/usado/peugeot/2008/2022/bogota/2278738,Peugeot 2008,1.6 Active,$76.200.000,Bogota,21.392 km,2022,usado,Bogota,**5 Bogota,Automática,Gasolina,1.600,Blanco,,,Asistencia Hidráulica,
2279337,https://www.carroya.com/detalle/usado/mazda/cx-5/2023/bogota/2279337,Mazda CX-5,Grand Touring 2.5 Suv Automatica 4x2,$145.500.000,Bogota,5.911 km,2023,usado,Bogota,**5 Bogota,Automática,Gasolina,2.500,Rojo,,,Asistencia Hidráulica,
2278188,https://www.carroya.com/detalle/usado/volkswagen/t-cross/2022/bogota/2278188,Volkswagen T-Cross,1.6 Trendline Mecanica,$81.300.000,Bogota,25.622 km,2022,usado,Bogota,**8 Bogota,Mecánica,Gasolina,1.600,Plateado,,,Asistencia Hidráulica,
2278409,https://www.carroya.com/detalle/usado/seat/ateca/2023/bogota/2278409,SEAT Ateca,Style Sport 1.4 Suv Automatico,$115.900.000,Bogota,1.400 km,2023,usado,Bogota,**8 Bogota,Automática,Gasolina,1.400,Blanco,,,Asistencia Hidráulica,
2278052,https://www.carroya.com/detalle/usado/volkswagen/gol/2017/bogota/2278052,Volkswagen Gol,1.6 Confortline Hatchback Mecanico,$41.900.000,Bogota,40.427 km,2017,usado,Bogota,**1 Bogota,Mecánica,Gasolina,1.600,Plateado,,,Asistencia Hidráulica,
2277841,https://www.carroya.com/detalle/usado/renault/duster/2019/bogota/2277841,Renault Duster,Expression 1.6 4x2 Mecanica,$60.800.000,Bogota,76.449 km,2019,usado,Bogota,**4 Bogota,Mecánica,Gasolina,1.600,Gris,,,Asistencia Hidráulica,
2273283,https://www.carroya.com/detalle/usado/volvo/xc-60/2022/bogota/2273283,Volvo XC 60,B6 Inscrip Suv Hybrid,$269.700.000,Bogota,8.434 km,2022,usado,Bogota,**3 Bogota,Automática,Gasolina,2.000,Blanco,,,Asistencia Hidráulica,
2278611,https://www.carroya.com/detalle/usado/ram/700/2023/bogota/2278611,RAM 700,,$60.990.000,Bogota,110 km,2023,usado,Bogota,**1 Bogota,Mecánica,Gasolina,1.400,Blanco,,,,
2279871,https://www.carroya.com/detalle/usado/nissan/x-trail/2021/bogota/2279871,Nissan X-Trail,Advance,$124.100.000,Bogota,2.500 km,2021,usado,Bogota,**5 Bogota,Automática,Gasolina,2.500,Plateado,,,Asistencia Hidráulica,
2276985,https://www.carroya.com/detalle/usado/jeep/cherokee/2019/bogota/2276985,JEEP Cherokee,Laredo Mecanica,$154.900.000,Bogota,33.018 km,2019,usado,Bogota,**8 Bogota,Mecánica,Gasolina,3.600,Blanco,,,Asistencia Hidráulica,
2277683,https://www.carroya.com/detalle/usado/chevrolet/joy/2021/chia/2277683,Chevrolet Joy,Sedan,$47.900.000,Chia,37.495 km,2021,usado,Chia,**3 Bogota,Mecánica,Gasolina,1.400,Azul,,,Asistencia Hidráulica,
2278344,https://www.carroya.com/detalle/usado/volkswagen/amarok/2019/chia/2278344,Volkswagen Amarok,Trendline 4x4 Aut,$112.000.000,Chia,38.640 km,2019,usado,Chia,**6 Bogota,Mecánica,Diesel,2.000,Blanco,,,,
2278745,https://www.carroya.com/detalle/usado/fiat/uno/2020/bogota/2278745,Fiat Uno,Way,$44.100.000,Bogota,52.798 km,2020,usado,Bogota,**8 Bogota,Mecánica,Gasolina,1.400,Plateado,,,Asistencia Hidráulica,
2275706,https://www.carroya.com/detalle/usado/ford/edge/2022/bogota/2275706,Ford Edge,SEL 4X2,$168.990.000,Bogota,,2022,usado,Bogota,**5 Bogota,Automática,Gasolina,2.000,Azul,,,Asistencia Hidráulica,
2278377,https://www.carroya.com/detalle/usado/ford/edge/2022/bogota/2278377,Ford Edge,SEL 4X2,$155.100.000,Bogota,17.645 km,2022,usado,Bogota,**4 Bogota,Automática,Gasolina,2.000,Rojo,,,Asistencia Hidráulica,
2279724,https://www.carroya.com/detalle/usado/peugeot/301/2019/chia/2279724,Peugeot 301,1.6 Allure,$50.500.000,Chia,60.597 km,2019,usado,Chia,**0 Bogota,Mecánica,Gasolina,1.600,Gris,,,Asistencia Hidráulica,
2279588,https://www.carroya.com/detalle/usado/suzuki/swift/2022/bogota/2279588,Suzuki Swift,1.2 GL New,$65.300.000,Bogota,16.247 km,2022,usado,Bogota,**6 Bogota,Mecánica,Gasolina,1.200,Plateado,,,Asistencia Hidráulica,
2274999,https://www.carroya.com/detalle/usado/mazda/2/2022/bogota/2274999,Mazda 2,1.5 Sedan Aut,$74.400.000,Bogota,12.680 km,2022,usado,Bogota,**8 Bogota,Automática,Gasolina,1.500,Rojo,,,Asistencia Hidráulica,
2278303,https://www.carroya.com/detalle/usado/suzuki/vitara/2022/bogota/2278303,Suzuki Vitara,LIVE GL 1.6 4X2,$83.800.000,Bogota,25.557 km,2022,usado,Bogota,**4 Bogota,Automática,Gasolina,1.600,Blanco,,,Asistencia Hidráulica,
2277837,https://www.carroya.com/detalle/usado/renault/logan/2019/chia/2277837,Renault Logan,Life 1.6 Sedan Manual,$41.700.000,Chia,67.933 km,2019,usado,Chia,**2 Bogota,Mecánica,Gasolina,1.600,Gris,,,Asistencia Hidráulica,
2041171,https://www.carroya.com/detalle/usado/renault/logan/2019/chia/2041171,Renault Logan,Intens Aut,$51.200.000,Chia,26.932 km,2019,usado,Chia,**5 Bogota,Automática,Gasolina,1.600,Gris,,,Asistencia Eléctrica,
2279729,https://www.carroya.com/detalle/usado/chevrolet/onix/2020/chia/2279729,Chevrolet Onix,1.4 LTZ Automatico,$52.600.000,Chia,19.369 km,2020,usado,Chia,**4 Bogota,Automática,Gasolina,1.400,Rojo,,,Asistencia Hidráulica,
2277987,https://www.carroya.com/detalle/usado/hyundai/accent/2023/bogota/2277987,Hyundai Accent,Advance,$73.490.000,Bogota,18 km,2023,usado,Bogota,**4 Bogota,Automática,Gasolina,1.600,Blanco,,,Asistencia Hidráulica,
2277945,https://www.carroya.com/detalle/usado/volkswagen/teramont/2021/bogota/2277945,Volkswagen Teramont,3.6 Highline,$199.990.000,Bogota,16.896 km,2021,usado,Bogota,**2 Bogota,Automática,Gasolina,3.600,Plateado,,,Asistencia Hidráulica,
2278061,https://www.carroya.com/detalle/usado/hyundai/i20/2018/bogota/2278061,Hyundai i20,Advance,$48.900.000,Bogota,52.376 km,,usado,Bogota,**4 Bogota,Mecánica,Gasolina,1.600,Blanco,,,Asistencia Hidráulica,
2279177,https://www.carroya.com/detalle/usado/ford/fiesta/2017/bogota/2279177,Ford Fiesta,ST,$56.000.000,Bogota,38.421 km,2017,usado,Bogota,**2 Bogota,Mecánica,Gasolina,1.600,Negro,,,Asistencia Hidráulica,
2276950,https://www.carroya.com/detalle/usado/renault/stepway/2022/bogota/2276950,Renault Stepway,Intens,$67.700.000,Bogota,35.643 km,2022,usado,Bogota,**2 Bogota,Mecánica,Gasolina,1.600,Beige,,,Asistencia Hidráulica,
2277839,https://www.carroya.com/detalle/usado/renault/logan/2022/bogota/2277839,Renault Logan,Zen,$53.400.000,Bogota,15.715 km,2022,usado,Bogota,**1 Bogota,Mecánica,Gasolina,1.600,Beige,,,Asistencia Hidráulica,
2278562,https://www.carroya.com/detalle/usado/chevrolet/tracker/2022/bogota/2278562,Chevrolet Tracker,Premier SUV Automatico,$88.000.000,Bogota,32.758 km,2022,usado,Bogota,**2 Bogota,Automática,Gasolina,1.200,Negro,,,Asistencia Hidráulica,
2279041,https://www.carroya.com/detalle/usado/opel/grandland-x/2023/bogota/2279041,OPEL Grandland X,,$119.900.000,Bogota,1.040 km,2023,usado,Bogota,**5 Bogota,Automática,Gasolina,2.000,Azul,,,Asistencia Hidráulica,
2278148,https://www.carroya.com/detalle/usado/fiat/mobi/2020/chia/2278148,Fiat Mobi,Easy Pop,$36.800.000,Chia,20.560 km,2020,usado,Chia,**4 Bogota,Mecánica,Gasolina,1.000,Rojo,,,Asistencia Hidráulica,
